frame = 0
1.4070e-03 + i 3.6629e-03
-1.1466e-02 + i -4.7722e-03
1.3185e-02 + i -1.2601e-02
1.7765e-03 + i 1.9194e-02
-2.1077e-02 + i -1.4083e-02
2.3647e-02 + i -1.9334e-02
1.5201e-02 + i 2.4384e-02
-2.5570e-02 + i 9.5019e-03
9.2612e-04 + i -3.3652e-02
3.5682e-02 + i 1.9654e-02
-3.5603e-02 + i 9.9742e-03
3.8534e-02 + i -2.2486e-02
-2.8540e-02 + i 6.7997e-02
-4.4248e-02 + i -8.2697e-02
9.2802e-02 + i 1.2141e-02
-4.8040e-02 + i 5.6754e-02
-1.7319e-02 + i -4.5200e-02
frame = 2
5.1990e-02 + i 0.0000e+00
-4.3819e-02 + i -2.9559e-02
2.6387e-02 + i 9.3678e-02
-1.2882e-02 + i -1.3177e-01
-3.5579e-02 + i 1.0107e-01
6.9748e-02 + i -5.4122e-02
-3.7844e-02 + i 1.7371e-02
-2.8066e-02 + i 1.0064e-02
6.6796e-02 + i -2.6691e-02
-4.3071e-02 + i 3.5156e-02
8.6618e-03 + i 2.2092e-02
-5.1467e-02 + i -5.0736e-02
5.7810e-02 + i 2.3912e-02
-2.7706e-02 + i -6.3821e-03
-1.4402e-02 + i 2.1105e-02
6.3167e-03 + i -2.4721e-02
-1.8107e-02 + i 7.6819e-03
1.6641e-03 + i -1.3805e-02
7.8129e-03 + i -4.2714e-03
-7.5027e-03 + i 1.4229e-02
-7.0566e-03 + i -2.0184e-02
-1.9385e-03 + i 5.4619e-03
-2.9201e-03 + i -5.6508e-03
9.5394e-03 + i -1.9388e-02
3.0757e-03 + i 1.0633e-02
-3.2449e-03 + i 2.8353e-02
-2.2729e-02 + i -4.1656e-02
8.2201e-03 + i 1.9700e-02
-3.3770e-03 + i -2.8913e-02
8.6295e-03 + i 1.4366e-02
-6.8225e-03 + i -5.3641e-03
-4.3071e-03 + i -4.5306e-03
-4.9682e-03 + i -7.8844e-03
3.2963e-03 + i -1.2322e-02
1.7582e-02 + i 6.0659e-04
-1.0602e-02 + i -1.4200e-04
-5.4343e-03 + i 4.2075e-03
1.3166e-02 + i -2.0806e-02
-1.2481e-02 + i 6.6965e-03
1.7214e-02 + i -1.2535e-02
-3.4155e-03 + i 1.7065e-03
1.2756e-02 + i 2.4008e-05
-1.4411e-02 + i 1.3244e-02
-7.0347e-03 + i -4.2658e-02
4.0158e-02 + i 2.1469e-02
-1.1599e-02 + i -9.5855e-03
3.9177e-03 + i 3.4954e-02
-2.0688e-02 + i -4.7392e-02
3.0967e-02 + i 3.3267e-02
-2.4325e-02 + i -3.4761e-02
3.2185e-02 + i 3.1050e-02
-2.4717e-02 + i -3.1014e-02
2.6217e-02 + i 2.9023e-02
-1.6324e-02 + i -2.6786e-02
1.5497e-02 + i 2.4778e-02
-8.0460e-03 + i -2.7665e-02
1.1868e-02 + i 3.4809e-02
-1.9509e-02 + i -4.1611e-02
3.4867e-02 + i 2.9465e-02
-2.7209e-02 + i -1.8167e-02
2.6862e-02 + i 1.3901e-02
-2.2402e-02 + i -1.1882e-02
2.9466e-02 + i 7.0192e-03
-2.7998e-02 + i -3.6178e-03
3.4655e-02 + i -2.1352e-07
-2.7998e-02 + i 3.6181e-03
2.9465e-02 + i -7.0196e-03
-2.2402e-02 + i 1.1882e-02
